Department	em_votes	em_pct	mlp_votes	mlp_pct	ff_votes	ff_pct	jlm_votes	jlm_pct	bh_votes	bh_pct	nda_votes	nda_pct	jl_votes	jl_pct	pp_votes	pp_pct	fa_votes	fa_pct	na_votes	na_pct	jc_votes	jc_pct
Ain	73692	22.62	81455	25.00	69805	21.43	51736	15.88	16711	5.13	19788	6.07	3465	1.06	3098	0.95	3612	1.11	1842	0.57	595	0.18
Aisne	51680	17.94	102770	35.67	46969	16.30	48950	16.99	12230	4.24	14651	5.08	2264	0.79	3156	1.10	2171	0.75	2763	0.96	536	0.19
Allier	45651	23.72	43004	22.34	36457	18.94	38311	19.91	10619	5.52	9795	5.09	2986	1.55	2322	1.21	1422	0.74	1540	0.80	353	0.18
Alpes-de-Haute-Provence	19960	20.02	24463	24.53	18442	18.49	22448	22.51	4983	5.00	4861	4.87	1721	1.73	1178	1.18	932	0.93	521	0.52	205	0.21
Hautes-Alpes	18948	21.80	18474	21.25	16645	19.15	18796	21.62	5109	5.88	4938	5.68	1609	1.85	1049	1.21	783	0.90	411	0.47	165	0.19
Alpes-Maritimes	111953	19.04	163141	27.75	161036	27.39	87941	14.96	21067	3.58	25175	4.28	5262	0.90	3622	0.62	6067	1.03	1729	0.29	939	0.16
Ardèche	42320	21.64	45305	23.17	33835	17.30	42622	21.80	11757	6.01	9926	5.08	3546	1.81	2602	1.33	1969	1.01	1303	0.67	371	0.19
Ardennes	26912	18.33	47578	32.41	25273	17.22	26172	17.83	7234	4.93	7810	5.32	1406	0.96	1693	1.15	1080	0.74	1378	0.94	267	0.18
Ariège	19523	20.92	20247	21.70	11892	12.75	24970	26.76	7326	7.85	3369	3.61	3304	3.54	1180	1.26	799	0.86	556	0.60	140	0.15
Aube	30565	18.98	48846	30.33	37122	23.05	22496	13.97	6545	4.06	10235	6.35	1159	0.72	1387	0.86	1317	0.82	1107	0.69	289	0.18
Aude	43015	20.07	60585	28.26	32281	15.06	46126	21.52	13614	6.35	8265	3.86	4642	2.17	2507	1.17	1783	0.83	1195	0.56	348	0.16
Aveyron	45584	25.83	28588	16.20	36664	20.78	34689	19.66	10878	6.16	8554	4.85	6461	3.66	2322	1.32	1304	0.74	1106	0.63	313	0.18
Bouches-du-Rhône	203312	19.37	286397	27.28	207466	19.76	231194	22.02	47564	4.53	40447	3.85	10040	0.96	8006	0.76	9418	0.90	4114	0.39	1740	0.17
Calvados	99720	24.83	81770	20.36	82340	20.50	75620	18.83	27293	6.80	20079	5.00	2911	0.72	5269	1.31	2830	0.70	3099	0.77	691	0.17
Cantal	24477	26.73	16641	18.17	21589	23.58	14566	15.91	4810	5.25	4047	4.42	2840	3.10	1179	1.29	527	0.58	692	0.76	198	0.22
Charente	49889	25.07	42598	21.40	33744	16.96	40755	20.48	12569	6.32	10008	5.03	3085	1.55	2724	1.37	1540	0.77	1651	0.83	450	0.23
Charente-Maritime	91355	23.91	80764	21.14	78659	20.59	72491	18.97	22023	5.76	20333	5.32	5276	1.38	4876	1.28	3020	0.79	2576	0.67	692	0.18
Cher	38076	22.05	41753	24.18	32967	19.09	33694	19.51	9157	5.30	9554	5.53	1925	1.11	2106	1.22	1479	0.86	1630	0.94	345	0.20
Corrèze	39218	26.93	25253	17.34	25427	17.46	30357	20.85	9263	6.36	7049	4.84	4253	2.92	2319	1.59	1094	0.75	1051	0.72	329	0.23
Corse-du-Sud	13022	17.87	20858	28.62	18714	25.68	10085	13.84	2546	3.49	2218	3.04	3948	5.42	657	0.90	485	0.67	218	0.30	117	0.16
Haute-Corse	15506	19.02	22183	27.22	20739	25.44	11229	13.78	3234	3.97	2244	2.75	4763	5.84	717	0.88	480	0.59	277	0.34	136	0.17
Côte-d'Or	67436	23.65	64200	22.52	60625	21.26	50859	17.84	16810	5.90	14980	5.25	2635	0.92	2818	0.99	2457	0.86	1795	0.63	509	0.18
Côtes-d'Armor	104969	27.99	61703	16.46	68916	18.38	76013	20.27	32260	8.60	15958	4.26	3554	0.95	5468	1.46	2479	0.66	3028	0.81	621	0.17
Creuse	15807	22.50	13966	19.88	12637	17.99	14827	21.11	5494	7.82	3521	5.01	1352	1.92	1209	1.72	580	0.83	684	0.97	174	0.25
Dordogne	55945	22.49	52044	20.93	42510	17.09	57132	22.97	15783	6.35	11424	4.59	6050	2.43	3578	1.44	2128	0.86	1626	0.65	490	0.20
Doubs	63954	22.50	66635	23.45	59929	21.09	50803	17.88	16318	5.74	14733	5.18	2532	0.89	3565	1.25	3129	1.10	2051	0.72	530	0.19
Drôme	63164	21.88	68996	23.90	53403	18.50	58037	20.10	17385	6.02	14997	5.19	3868	1.34	3174	1.10	2988	1.03	2196	0.76	533	0.18
Eure	66986	19.89	98719	29.31	63436	18.84	58844	17.47	16999	5.05	19096	5.67	2602	0.77	3933	1.17	2927	0.87	2633	0.78	602	0.18
Eure-et-Loir	51038	21.74	58886	25.08	51275	21.84	38035	16.20	12317	5.25	14103	6.01	1942	0.83	2659	1.13	2253	0.96	1817	0.77	454	0.19
Finistère	164095	29.45	77366	13.89	99965	17.94	109607	19.67	60781	10.91	22737	4.08	6192	1.11	8250	1.48	3697	0.66	3638	0.65	857	0.15
Gard	79006	18.78	123273	29.30	72366	17.20	90905	21.61	20473	4.87	17808	4.23	5946	1.41	4044	0.96	4096	0.97	2092	0.50	673	0.16
Haute-Garonne	190128	26.43	120225	16.71	118608	16.49	170446	23.69	60180	8.37	27833	3.87	14445	2.01	7116	0.99	5955	0.83	3166	0.44	1291	0.18
Gers	27775	23.40	23387	19.71	21312	17.96	23089	19.45	9527	8.03	5378	4.53	5059	4.26	1254	1.06	1037	0.87	677	0.57	188	0.16
Gironde	222287	26.13	155319	18.26	145283	17.08	185888	21.85	64300	7.56	35530	4.18	16460	1.93	13233	1.56	7013	0.82	3980	0.47	1527	0.18
Hérault	128621	20.52	161119	25.70	110339	17.60	143996	22.97	36180	5.77	23159	3.69	8461	1.35	5660	0.90	5919	0.94	2496	0.40	894	0.14
Ille-et-Vilaine	181373	30.26	84648	14.12	114034	19.03	118096	19.70	53418	8.91	26822	4.48	4531	0.76	7065	1.18	3994	0.67	4339	0.72	1021	0.17
Indre	27301	20.85	31985	24.43	25476	19.46	24938	19.05	7786	5.95	7177	5.48	1728	1.32	1757	1.34	1098	0.84	1390	1.06	298	0.23
Indre-et-Loire	83165	24.47	64522	18.98	72196	21.24	65931	19.40	22898	6.74	18452	5.43	2929	0.86	3907	1.15	2620	0.77	2606	0.77	679	0.20
Isère	164091	24.77	147910	22.33	112927	17.05	135949	20.52	43652	6.59	33773	5.10	6537	0.99	6382	0.96	6558	0.99	3595	0.54	1140	0.17
Jura	31896	21.33	36110	24.14	28373	18.97	30331	20.28	7589	5.07	8533	5.71	1994	1.33	1980	1.32	1330	0.89	1148	0.77	285	0.19
Landes	61043	24.63	44956	18.14	42464	17.13	49949	20.15	21550	8.69	11021	4.45	10485	4.23	2875	1.16	1916	0.77	1235	0.50	372	0.15
Loir-et-Cher	40639	20.98	48662	25.12	42756	22.07	31576	16.30	10956	5.66	11646	6.01	1843	0.95	2198	1.13	1516	0.78	1542	0.80	404	0.21
Loire	90677	23.17	94222	24.08	71848	18.36	73388	18.75	22698	5.80	22689	5.80	5041	1.29	4107	1.05	3483	0.89	2547	0.65	667	0.17
Haute-Loire	32821	23.51	32185	23.06	25956	18.60	25419	18.21	7435	5.33	8346	5.98	3112	2.23	1928	1.38	1050	0.75	1043	0.75	282	0.20
Loire-Atlantique	232602	28.66	111194	13.70	159703	19.68	178357	21.98	65140	8.03	36546	4.50	6029	0.74	9618	1.19	6129	0.76	4785	0.59	1354	0.17
Loiret	83506	23.48	83662	23.53	75655	21.28	58134	16.35	20438	5.75	21128	5.94	3203	0.90	3655	1.03	3109	0.87	2380	0.67	702	0.20
Lot	29527	26.65	17865	16.13	18459	16.66	26014	23.48	7951	7.18	4550	4.11	3073	2.77	1528	1.38	871	0.79	723	0.65	226	0.20
Lot-et-Garonne	39253	20.79	47271	25.03	34828	18.44	36018	19.08	10639	5.63	9407	4.98	6083	3.22	2292	1.21	1660	0.88	1044	0.55	327	0.17
Lozère	10463	21.73	9097	18.89	10986	22.82	9483	19.70	2733	5.68	2197	4.56	1764	3.66	683	1.42	354	0.74	294	0.61	93	0.19
