state,population,num_reps
Alabama,"4,802,982",7
Alaska,"721,523",1
Arizona,"6,412,700",9
Arkansas,"2,926,229",4
California,"37,341,989",53
Colorado,"5,044,930",7
Connecticut,"3,581,628",5
Delaware,"900,877",1
Florida,"18,900,773",27
Georgia,"9,727,566",14
Hawaii,"1,366,862",2
Idaho,"1,573,499",2
Illinois,"12,864,380",18
Indiana,"6,501,582",9
Iowa,"3,053,787",4
Kansas,"2,863,813",4
Kentucky,"4,350,606",6
Louisiana,"4,553,962",6
Maine,"1,333,074",2
Maryland,"5,789,929",8
Massachusetts,"6,559,644",9
Michigan,"9,911,626",14
Minnesota,"5,314,879",8
Mississippi,"2,978,240",4
Missouri,"6,011,478",8
Montana,"994,416",1
Nebraska,"1,831,825",3
Nevada,"2,709,432",4
New Hampshire,"1,321,445",2
New Jersey,"8,807,501",12
New Mexico,"2,067,273",3
New York,"19,421,055",27
North Carolina,"9,565,781",13
North Dakota,"675,905",1
Ohio,"11,568,495",16
Oklahoma,"3,764,882",5
Oregon,"3,848,606",5
Pennsylvania,"12,734,905",18
Rhode Island,"1,055,247",2
South Carolina,"4,645,975",7
South Dakota,"819,761",1
Tennessee,"6,375,431",9
Texas,"25,268,418",36
Utah,"2,770,765",4
Vermont,"630,337",1
Virginia,"8,037,736",11
Washington,"6,753,369",10
West Virginia,"1,859,815",3
Wisconsin,"5,698,230",8
Wyoming,"568,300",1
TOTAL1,"309,183,463",435
